id	file_line	command	classification	basis	remediation
11	/tmp/f062_epoch_20260714_025149/scripts/deploy_prod.sh:24	kubectl -n "$NS" get hpa -o wide | grep "$DEP" || true	observational	Human-readable post-state only; line 26 asserts the full HPA spec hash against pre-state.	No tracked copy retained; the actual HPA invariant is the hash assertion.
12	/tmp/f062_epoch_20260714_025149/scripts/final_state_proof.sh:21	kubectl -n "$NS" get hpa -o wide | grep -E 'jw-market-backend-api($|-test)' || true	undetermined	The output is not followed by a completeness or identity assertion.	Use an exact HPA identity census if promoted to a gate.
13	/tmp/f062_epoch_20260714_025149/scripts/inspect_build_history.sh:6	kubectl -n llmops logs job/"$j" --tail=8 || true	undetermined	Inspection output has no stated missing-job policy or later assertion.	Keep outside acceptance or add an explicit optional-resource policy.
14	/tmp/f062_epoch_20260714_025149/scripts/inspect_build_jobs.sh:10	kubectl -n "$NS" top pods -l app=f062-malb-build || true	undetermined	Metrics-server absence and zero matching pods are conflated; no assertion consumes the output.	Separate optional metrics from the required pod census.
15	/tmp/f062_epoch_20260714_025149/scripts/inspect_cluster_templates.sh:8	kubectl -n llmops get jobs -o custom-columns=NAME:.metadata.name,IMAGE:.spec.template.spec.containers[0].image,COMPLETIONS:.status.succeeded,AGE:.metadata.creationTimestamp | grep -Ei 'analysis|malb|block' || true	undetermined	Zero resources and command failure are conflated and no expected identity set is asserted.	Declare expected identities before treating it as a gate.
16	/tmp/f062_epoch_20260714_025149/scripts/inspect_cluster_templates.sh:9	kubectl -n llmops get cronjobs -o custom-columns=NAME:.metadata.name,IMAGE:.spec.jobTemplate.spec.template.spec.containers[0].image,SCHEDULE:.spec.schedule | grep -Ei 'analysis|malb|block' || true	undetermined	Zero resources and command failure are conflated and no expected identity set is asserted.	Declare expected identities before treating it as a gate.
17	/tmp/f062_epoch_20260714_025149/scripts/inspect_corpus_job_spec.sh:8	kubectl -n llmops get configmap -o name | grep -Ei 'malb|f00x|corpus' || true	undetermined	No expected ConfigMap identity or missing policy is asserted.	Use an exact identity check if canonicalized.
18	/tmp/f062_epoch_20260714_025149/scripts/inspect_prior_malb_jobs.sh:10	kubectl -n llmops logs job/"$job" --tail=30 || true	undetermined	Prior jobs may be optional, but the script does not declare that contract.	Annotate optional history explicitly if canonicalized.
19	/tmp/f062_epoch_20260714_025149/scripts/inspect_prior_malb_jobs.sh:14	kubectl -n llmops logs job/f062-malb-build-0714 --tail=20 || true	undetermined	Current build log retrieval failure is swallowed and no status assertion consumes it.	Require the job identity and capture retrieval failure separately.
20	/tmp/f062_epoch_20260714_025149/scripts/poll_malb_build.sh:5	kubectl -n llmops logs job/f062-malb-build-0714 --tail=30 || true	undetermined	A polling helper may tolerate logs not yet available, but no retry-state contract is encoded.	Encode pending versus failed states before reuse.
21	/tmp/f062_epoch_20260714_025149/scripts/poll_readonly_gates.sh:11	kubectl -n "$NS" logs "$job" --tail=12 || true	undetermined	Gate job logs are printed but job success and log retrieval are not asserted together.	Use job completion plus acceptance output assertions.
22	/tmp/f062_epoch_20260714_025149/scripts/poll_readonly_gates.sh:16	kubectl -n "$NS" logs job/f062-malb-corpus-0714 --tail=30 || true	undetermined	Corpus log retrieval is not tied to a non-empty completion result.	Use the independent population gate and job completion assertion.
23	/tmp/f062_epoch_20260714_025149/scripts/poll_sharded_jobs.sh:7	kubectl -n llmops logs job/"$j" --tail=5 || true	undetermined	Polling output has no declared pending/error distinction.	Encode shard completion state before canonicalizing.
24	/tmp/f062_epoch_20260714_025149/scripts/preflight_stage0.sh:18	| grep -E 'CACHE_SOURCE_POLICY_VERSION|MART_DB|GENERAL.*DB|STRATEGIC.*DB|ANALYSIS_LEVEL_BLOCK' || true	undetermined	This is the exact continuation line containing the operator; the preceding kubectl pipeline is recorded by file and line context. Missing required env and an absent optional env are not distinguished.	Declare required env names and assert their exact set.
25	/tmp/f062_epoch_20260714_025149/scripts/preflight_stage0.sh:21	kubectl -n llmops get pods -l app=jw-market-backend-api -o wide || true	undetermined	A preflight should fail on an empty production pod census, but the historical script has no policy.	Use a non-empty pod census with expected deployment identity.
26	/tmp/f062_epoch_20260714_025149/scripts/preflight_stage0.sh:22	kubectl -n llmops get pods -l app=jw-market-backend-api-test -o wide || true	undetermined	A preflight should fail on an empty test2 pod census, but the historical script has no policy.	Use a non-empty pod census with expected deployment identity.
27	/tmp/f062_epoch_20260714_025149/scripts/prod_gate.sh:28	kubectl -n "$NS" logs "$p" --since=20m | grep -E 'analysis_level_block_(hit|miss|fallback|replay_stats)' | tail -30 || true	undetermined	Replay diagnostics are not themselves an error gate; the next line separately scans strict errors, but no replay expectation is declared.	Keep diagnostics separate from acceptance and declare any required replay event count.
28	/tmp/f062_epoch_20260714_025149/scripts/test2_latency_diagnostics.sh:9	kubectl -n "$NS" logs "$pod" --since-time=2026-07-13T19:19:50Z | grep -E 'analysis_level_block|GET /jw-market-backend-api/api/cause|dynamic_response|cause' | tail -240 || true	undetermined	Diagnostic output is not asserted and no minimum event count is declared.	Keep as diagnostics or add a measured event population.
29	/tmp/f062_epoch_20260714_025149/scripts/test2_latency_golden.sh:45	kubectl -n "$NS" logs "$pod" --since=30m | grep -E 'analysis_level_block_(hit|miss|fallback|replay_stats)' | tail -100 || true	undetermined	Replay output is informational, but no later assertion verifies it and optionality is undeclared.	Keep diagnostics separate from the strict acceptance result.
30	/tmp/f062_epoch_20260714_025149/scripts/test2_latency_golden.sh:47	kubectl -n "$NS" logs "$pod" --since=30m | grep -E 'Traceback|ERROR| 5[0-9][0-9] ' || true	defect	Strict errors were printed without a count assertion and only one pod was scanned.	Use collect_strict_logs.sh and release_acceptance.py strict-logs for every deployment pod.
